target,kernel,set,rc,metric,label,value,unit
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,64.62,%
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),0,sector
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,0,%
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,1,block
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,regs,RC3,launch__registers_per_thread,regs/thread,168,register/thread
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,14.83,%
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),3.28,inst
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,3.97,inst
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,2.76,inst
matmul_pytorch_large,nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,0.00,inst
matmul_triton_large,matmul_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,69557175552,byte
matmul_triton_large,matmul_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,86.82,%
matmul_triton_large,matmul_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),20068704,ns
matmul_triton_large,matmul_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,52.21,%
matmul_triton_large,matmul_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),16,sector
matmul_triton_large,matmul_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,0,%
matmul_triton_large,matmul_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
matmul_triton_large,matmul_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
matmul_triton_large,matmul_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,4,block
matmul_triton_large,matmul_kernel,regs,RC3,launch__registers_per_thread,regs/thread,128,register/thread
matmul_triton_large,matmul_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,18.72,%
matmul_triton_large,matmul_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),1.84,inst
matmul_triton_large,matmul_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,4.03,inst
matmul_triton_large,matmul_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
matmul_triton_large,matmul_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0.00,inst
matmul_triton_large,matmul_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,0.01,inst
max_reduction_tilelang_large,func_kernel,l2dram,RC2b,dram__bytes_read.sum,DRAM read bytes,536888576,byte
max_reduction_tilelang_large,func_kernel,l2dram,RC2b,dram__throughput.avg.pct_of_peak_sustained_elapsed,DRAM thru %,93.49,%
max_reduction_tilelang_large,func_kernel,l2dram,ref,gpu__time_duration.sum,kernel time (ns),143456,ns
max_reduction_tilelang_large,func_kernel,l2dram,RC2b,lts__t_sector_hit_rate.pct,L2 hit %,0.60,%
max_reduction_tilelang_large,func_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),16,sector
max_reduction_tilelang_large,func_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,100,%
max_reduction_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
max_reduction_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
max_reduction_tilelang_large,func_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,4,block
max_reduction_tilelang_large,func_kernel,regs,RC3,launch__registers_per_thread,regs/thread,52,register/thread
max_reduction_tilelang_large,func_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,48.76,%
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),6.85,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,14.55,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0.24,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,1.02,inst
