target,kernel,set,rc,metric,label,value,unit
max_reduction_tilelang_large,func_kernel,loads,RC1,l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio,sectors/req (↑=less vectorized),32.00,sector/1
max_reduction_tilelang_large,func_kernel,loads,RC1,smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,bytes/sector load eff %,12.50,%
max_reduction_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_ld.sum,local-ld bytes (spill),0,byte
max_reduction_tilelang_large,func_kernel,regs,RC3,l1tex__t_bytes_pipe_lsu_mem_local_op_st.sum,local-st bytes (spill),0,byte
max_reduction_tilelang_large,func_kernel,regs,RC3,launch__occupancy_limit_registers,occ limit (reg) %,6,block
max_reduction_tilelang_large,func_kernel,regs,RC3,launch__registers_per_thread,regs/thread,39,register/thread
max_reduction_tilelang_large,func_kernel,regs,RC3,sm__warps_active.avg.pct_of_peak_sustained_active,achieved occ %,64.44,%
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,stall barrier (sync),0,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,stall long_scoreboard,86.74,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_membar_per_issue_active.ratio,stall membar,0,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio,stall mio_throttle,0.00,inst
max_reduction_tilelang_large,func_kernel,stalls,RC0,smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio,stall short_scoreboard,0.00,inst
