kernel,size,impl,input_desc,latency_ms,peak_memory_mb
matmul,large,pytorch,"A:(16384,16384) B:(16384,16384) fp16",41.0218,10611.31
matmul,large,triton,"A:(16384,16384) B:(16384,16384) fp16",107.773,10611.31
matmul,large,triton_tuned,"A:(16384,16384) B:(16384,16384) fp16",75.1038,10611.31
matmul,large,tilelang,"A:(16384,16384) B:(16384,16384) fp16",52.3041,10611.31
matmul,large,tilelang_tuned,"A:(16384,16384) B:(16384,16384) fp16",82.8937,10611.31
matrix_transpose,small,pytorch,"x:(1024,1024) fp16",0.0475,10101.31
matrix_transpose,small,triton,"x:(1024,1024) fp16",0.0455,10101.31
matrix_transpose,small,triton_tuned,"x:(1024,1024) fp16",0.0456,10101.31
matrix_transpose,small,tilelang,"x:(1024,1024) fp16",0.0709,10101.31
matrix_transpose,small,tilelang_tuned,"x:(1024,1024) fp16",0.0628,10101.31
matrix_transpose,large,pytorch,"x:(16384,16384) fp16",3.1294,10611.31
matrix_transpose,large,triton,"x:(16384,16384) fp16",0.9808,10611.31
matrix_transpose,large,triton_tuned,"x:(16384,16384) fp16",0.9816,10611.31
matrix_transpose,large,tilelang,"x:(16384,16384) fp16",2.9619,10611.31
matrix_transpose,large,tilelang_tuned,"x:(16384,16384) fp16",4.9994,10611.31
max_reduction,small,pytorch,"x:(1024,1024) dim=1 fp16",0.0257,10099.32
max_reduction,small,triton,"x:(1024,1024) dim=1 fp16",0.0794,10099.32
max_reduction,small,triton_tuned,"x:(1024,1024) dim=1 fp16",0.107,10099.32
max_reduction,small,tilelang,"x:(1024,1024) dim=1 fp16",0.1989,10103.33
max_reduction,small,tilelang_tuned,"x:(1024,1024) dim=1 fp16",0.1486,10103.33
max_reduction,large,pytorch,"x:(8192,32768) dim=1 fp16",0.5205,10099.39
max_reduction,large,triton,"x:(8192,32768) dim=1 fp16",4.2893,10099.39
max_reduction,large,triton_tuned,"x:(8192,32768) dim=1 fp16",4.2903,10099.39
max_reduction,large,tilelang,"x:(8192,32768) dim=1 fp16",10.4095,11123.45
max_reduction,large,tilelang_tuned,"x:(8192,32768) dim=1 fp16",9.1217,11123.45
mean_reduction,small,pytorch,"x:(1024,1024) dim=1 fp32",0.0211,10099.31
mean_reduction,small,triton,"x:(1024,1024) dim=1 fp32",0.0593,10099.31
mean_reduction,small,triton_tuned,"x:(1024,1024) dim=1 fp32",0.0592,10099.31
mean_reduction,small,tilelang,"x:(1024,1024) dim=1 fp32",0.151,10099.31
mean_reduction,small,tilelang_tuned,"x:(1024,1024) dim=1 fp32",0.1063,10099.31
mean_reduction,large,pytorch,"x:(8192,32768) dim=1 fp32",0.7572,10099.34
mean_reduction,large,triton,"x:(8192,32768) dim=1 fp32",1.0017,10099.34
mean_reduction,large,triton_tuned,"x:(8192,32768) dim=1 fp32",1.0029,10099.34
mean_reduction,large,tilelang,"x:(8192,32768) dim=1 fp32",9.198,10099.34
mean_reduction,large,tilelang_tuned,"x:(8192,32768) dim=1 fp32",7.5781,10099.34
mul,small,pytorch,"x:(4096,) fp16",0.0194,10099.32
mul,small,triton,"x:(4096,) fp16",0.0431,10099.32
mul,small,triton_tuned,"x:(4096,) fp16",0.0433,10099.32
mul,small,tilelang,"x:(4096,) fp16",0.0659,10099.32
mul,small,tilelang_tuned,"x:(4096,) fp16",0.0663,10099.32
mul,large,pytorch,"x:(64M,) fp16",0.2108,10227.31
mul,large,triton,"x:(64M,) fp16",0.3026,10227.31
mul,large,triton_tuned,"x:(64M,) fp16",0.3014,10227.31
mul,large,tilelang,"x:(64M,) fp16",0.3107,10227.31
mul,large,tilelang_tuned,"x:(64M,) fp16",0.3095,10227.31
relu,small,pytorch,"x:(4096,4096) fp16",0.0654,10131.31
relu,small,triton,"x:(4096,4096) fp16",0.0792,10131.31
relu,small,triton_tuned,"x:(4096,4096) fp16",0.079,10131.31
relu,small,tilelang,"x:(4096,4096) fp16",0.1014,10131.31
relu,small,tilelang_tuned,"x:(4096,4096) fp16",0.0996,10131.31
relu,large,pytorch,"x:(16384,16384) fp16",0.7876,10611.31
relu,large,triton,"x:(16384,16384) fp16",0.8051,10611.31
relu,large,triton_tuned,"x:(16384,16384) fp16",0.8049,10611.31
relu,large,tilelang,"x:(16384,16384) fp16",1.1478,10611.31
relu,large,tilelang_tuned,"x:(16384,16384) fp16",1.1485,10611.31
rms_norm,small,pytorch,"x:(512,1024) w:(1024,) fp16",0.1423,10103.31
rms_norm,small,triton,"x:(512,1024) w:(1024,) fp16",0.0659,10100.31
rms_norm,small,triton_tuned,"x:(512,1024) w:(1024,) fp16",0.0658,10100.31
rms_norm,small,tilelang,"x:(512,1024) w:(1024,) fp16",2.7143,10104.31
rms_norm,small,tilelang_tuned,"x:(512,1024) w:(1024,) fp16",0.8183,10104.31
rms_norm,large,pytorch,"x:(8192,8192) w:(8192,) fp16",2.4501,10611.37
rms_norm,large,triton,"x:(8192,8192) w:(8192,) fp16",0.2535,10227.31
rms_norm,large,triton_tuned,"x:(8192,8192) w:(8192,) fp16",0.2526,10227.31
rms_norm,large,tilelang,"x:(8192,8192) w:(8192,) fp16",278.1275,10739.34
rms_norm,large,tilelang_tuned,"x:(8192,8192) w:(8192,) fp16",76.1246,10739.34
softmax,small,pytorch,"x:(512,1024) fp16",0.0197,10100.31
softmax,small,triton,"x:(512,1024) fp16",0.0646,10100.31
softmax,small,triton_tuned,"x:(512,1024) fp16",0.0502,10100.31
softmax,small,tilelang,"x:(512,1024) fp16",3.3427,10104.31
softmax,small,tilelang_tuned,"x:(512,1024) fp16",1.0069,10104.31
softmax,large,pytorch,"x:(4096,32768) fp16",0.5088,10355.31
softmax,large,triton,"x:(4096,32768) fp16",0.4351,10355.31
softmax,large,triton_tuned,"x:(4096,32768) fp16",0.4327,10355.31
softmax,large,tilelang,"x:(4096,32768) fp16",2.8142,11123.31
softmax,large,tilelang_tuned,"x:(4096,32768) fp16",2.8152,11123.31
swiglu,small,pytorch,"xy:(512,8192) fp16",0.0523,10107.31
swiglu,small,triton,"xy:(512,8192) fp16",0.0806,10103.31
swiglu,small,triton_tuned,"xy:(512,8192) fp16",0.0817,10103.31
swiglu,small,tilelang,"xy:(512,8192) fp16",0.1182,10111.31
